date,company,drug,therapeutic_area,signal_type,headline,detail,source_type
2026-06-02,GSK,Nucala,Respiratory,Pricing & Reimbursement,GSK adjusts Nucala list price ahead of biosimilar pressure,"GSK filed a list price update for Nucala in the US market, a defensive move ahead of anticipated biosimilar entrants in the severe asthma segment. Net pricing to payers held flat via increased rebate offers.",Payer Filing
2026-06-04,Sun Pharma,Ilumya,Dermatology,Sales Force Effectiveness,Sun Pharma expands dermatology field force by 18%,"Sun Pharma added ~40 dermatology-focused reps in the US Midwest and Southeast, targeting community dermatology practices previously covered by generalist reps.",Field Intelligence
2026-06-07,Abbott,FreeStyle Libre 4,Diabetes,Pipeline,Abbott files next-gen CGM sensor for FDA review,"Abbott submitted its FreeStyle Libre 4 sensor, featuring extended 21-day wear and integrated ketone tracking, for FDA 510(k) clearance.",Regulatory Filing
2026-06-09,Novo Nordisk,Ozempic,Diabetes/Obesity,Pricing & Reimbursement,Novo Nordisk lowers cash-pay price for Ozempic in select US states,"In response to compounded-GLP1 competition, Novo Nordisk introduced a direct-to-consumer cash price tier roughly 30% below WAC in five states.",News
2026-06-11,GSK,Jemperli,Oncology,Clinical Trial,GSK reports positive Phase III readout for Jemperli in endometrial cancer,"Topline data showed statistically significant PFS improvement in first-line combination therapy, positioning Jemperli for expanded label filing.",Clinical Trial Registry
2026-06-13,Sun Pharma,Winlevi,Dermatology,Pricing & Reimbursement,Sun Pharma shifts Winlevi to preferred tier on two regional formularies,"Formulary win with two mid-size regional PBMs expected to reduce prior-authorization friction and improve new-to-brand share.",Formulary Database
2026-06-15,Abbott,Diabetes Care Franchise,Diabetes,Sales Force Effectiveness,Abbott restructures diabetes care commercial team around health-system accounts,"Reorg consolidates account management under a single health-system-facing team rather than product-line silos, aiming to accelerate integrated CGM+pump conversations.",Field Intelligence
2026-06-18,Novo Nordisk,CagriSema,Obesity,Pipeline,Novo Nordisk advances CagriSema into additional Phase III cardiovascular outcomes trial,"New trial arm expands the label ambition of CagriSema beyond weight management into CV risk reduction, a direct challenge to competitor obesity pipelines.",Clinical Trial Registry
2026-06-20,GSK,Arexvy,Vaccines,Regulatory,GSK receives expanded age indication for Arexvy RSV vaccine,"FDA expanded approval to include adults 50-59 at increased risk, broadening the addressable patient population ahead of the fall vaccination season.",Regulatory Filing
2026-06-23,Sun Pharma,Specialty Pipeline,Oncology,Pipeline,Sun Pharma in-licenses early oncology asset from US biotech,"Deal brings a preclinical ADC (antibody-drug conjugate) program in-house, signaling Sun Pharma's push to build a specialty oncology pipeline beyond generics.",News
2026-06-25,Abbott,FreeStyle Libre,Diabetes,Pricing & Reimbursement,Abbott secures expanded Medicare coverage for CGM in Type 2 non-insulin patients,"CMS coverage expansion opens a substantially larger addressable Medicare population for FreeStyle Libre outside the traditional insulin-dependent segment.",Payer Filing
2026-06-27,Novo Nordisk,Wegovy,Obesity,Sales Force Effectiveness,Novo Nordisk adds primary care specialty force ahead of oral GLP-1 launch,"New 200-rep primary-care-focused team being built out in anticipation of the oral semaglutide launch, separate from the existing endocrinology force.",Field Intelligence
2026-06-30,GSK,Blenrep,Oncology,Clinical Trial,GSK re-files Blenrep BLA after resolving prior clinical hold data gaps,"Re-submission includes updated overall survival data addressing FDA's earlier confirmatory trial concerns from the initial accelerated approval withdrawal.",Regulatory Filing
2026-07-02,Sun Pharma,Ilumya,Dermatology,Clinical Trial,Sun Pharma initiates head-to-head trial of Ilumya vs. leading IL-23 competitor,"Comparative trial in moderate-to-severe plaque psoriasis is designed to generate differentiation data ahead of contract renewal cycles with major PBMs.",Clinical Trial Registry
2026-07-05,Abbott,Libre Rio,Diabetes,Pipeline,Abbott launches lower-cost CGM variant targeting Type 2 self-pay segment,"Libre Rio is a stripped-down, lower-price CGM aimed at the growing self-pay Type 2 diabetes population, a segment largely uninsured for CGM today.",News
2026-07-08,Novo Nordisk,Ozempic,Diabetes/Obesity,Regulatory,Novo Nordisk faces FTC inquiry over GLP-1 pricing and patent strategy,"Federal Trade Commission opened a preliminary inquiry into patent thicketing practices around injector device patents that may delay generic entry.",News
2026-07-10,GSK,Nucala,Respiratory,Sales Force Effectiveness,GSK consolidates respiratory and immunology field teams,"Combined call plan aims to reduce cost-to-serve while maintaining share-of-voice against AstraZeneca's competing respiratory portfolio.",Field Intelligence
2026-07-13,Sun Pharma,Generic Oncology Portfolio,Oncology,Pricing & Reimbursement,Sun Pharma undercuts branded oncology support drug pricing by 40%,"Aggressive generic pricing on a widely used supportive-care oncology drug is pressuring branded competitors' net realized price in community oncology networks.",Payer Filing
2026-07-16,Abbott,FreeStyle Libre 4,Diabetes,Regulatory,Abbott receives FDA clearance for FreeStyle Libre 4 with ketone tracking,"Clearance positions Abbott ahead of Dexcom's next-generation sensor timeline, with commercial launch targeted for Q4.",Regulatory Filing
2026-07-19,Novo Nordisk,Amycretin,Obesity,Pipeline,Novo Nordisk reports strong Phase II weight-loss data for oral candidate Amycretin,"Data showed weight loss competitive with injectable GLP-1s in an oral formulation, a potential disruptor to the current injectable-dominant obesity market.",Clinical Trial Registry
2026-07-22,GSK,Jemperli,Oncology,Sales Force Effectiveness,GSK builds dedicated gynecologic oncology key account team,"New 25-person specialist team targets top 150 US gynecologic oncology centers ahead of the anticipated endometrial cancer label expansion.",Field Intelligence
